filename,predicted_label,score,ground_truth
img_001.jpg,raised,0.364278,raised
img_002.jpg,raised,0.196932,raised
img_003.jpg,raised,0.357939,raised
img_004.jpg,raised,0.392749,raised
img_005.jpg,raised,0.360722,raised
img_006.jpg,raised,0.250774,raised
img_007.jpg,raised,0.309395,raised
img_008.jpg,raised,0.292801,raised
img_009.jpg,raised,0.615084,raised
img_010.jpg,raised,0.703447,raised
img_011.jpg,raised,0.411094,raised
img_012.jpg,raised,0.405357,raised
img_013.jpg,raised,0.474284,raised
img_014.jpg,raised,0.390259,raised
img_015.jpg,raised,0.356089,raised
img_016.jpg,raised,0.324278,raised
img_018.jpg,raised,0.494419,raised
img_019.jpg,raised,0.625200,raised
img_020.jpg,raised,0.270072,raised
img_021.jpg,raised,0.341314,raised
img_022.jpg,raised,0.384619,raised
img_023.jpg,raised,0.465922,raised
img_024.jpg,raised,0.775792,raised
img_025.jpg,raised,0.615398,raised
img_026.jpg,raised,0.536387,raised
img_027.jpg,raised,0.278146,raised
img_028.jpg,raised,0.246029,raised
img_029.jpg,raised,0.289379,raised
img_030.jpg,raised,0.413322,raised
img_031.jpg,raised,0.442387,raised
img_032.jpg,raised,0.563128,raised
img_033.jpg,raised,0.428469,raised
img_034.jpg,raised,0.293728,raised
img_035.jpg,raised,0.348399,raised
img_036.jpg,raised,0.470602,raised
img_037.jpg,raised,0.407808,raised
img_038.jpg,raised,0.377622,raised
img_039.jpg,raised,0.480787,raised
img_040.jpg,raised,0.547850,raised
img_041.jpg,raised,0.789693,raised
img_042.jpg,lowered,0.171597,raised
img_043.jpg,raised,0.271527,raised
img_044.jpg,raised,0.217766,raised
img_045.jpg,raised,0.281349,raised
img_046.jpg,raised,0.676609,raised
img_047.jpg,raised,0.346965,raised
img_048.jpg,raised,0.417320,raised
img_049.jpg,raised,0.371474,raised
img_050.jpg,raised,0.376432,raised
img_051.jpg,raised,0.362976,raised
img_052.jpg,raised,0.276453,raised
img_053.jpg,raised,0.259304,raised
img_054.jpg,raised,0.322823,raised
img_055.jpg,raised,0.495722,raised
img_056.jpg,raised,0.444223,raised
img_057.jpg,raised,0.440121,raised
img_058.jpg,raised,0.482775,raised
img_059.jpg,raised,0.434707,raised
img_060.jpg,raised,0.400729,raised
img_061.jpg,raised,0.336453,raised
img_062.jpg,raised,0.568919,raised
img_063.jpg,raised,0.555364,raised
img_064.jpg,raised,0.422020,raised
img_065.jpg,raised,0.188046,raised
img_066.jpg,raised,0.578904,raised
img_067.jpg,raised,0.445773,raised
img_068.jpg,raised,0.241016,raised
img_069.jpg,raised,0.246088,raised
img_071.jpg,raised,0.335158,raised
img_072.jpg,raised,0.597690,raised
img_073.jpg,raised,0.206303,raised
img_074.jpg,raised,0.415650,raised
img_075.jpg,raised,0.420791,raised
img_076.jpg,raised,0.214738,raised
img_077.jpg,raised,0.369421,raised
img_078.jpg,raised,0.297820,raised
img_079.jpg,raised,0.338933,raised
img_080.jpg,raised,0.362525,raised
img_082.jpg,raised,0.333884,raised
img_083.jpg,raised,0.461053,raised
img_084.jpg,raised,0.346448,raised
img_085.jpg,raised,0.368076,raised
img_087.jpg,raised,0.466487,raised
img_088.jpg,raised,0.203871,raised
img_089.jpg,raised,0.207985,raised
img_090.jpg,raised,0.277089,raised
img_091.jpg,raised,0.329871,raised
img_092.jpg,raised,0.460927,raised
img_093.jpg,raised,0.264591,raised
img_094.jpg,raised,0.322525,raised
img_095.jpg,raised,0.293411,raised
img_096.jpg,raised,0.304320,raised
img_098.jpg,raised,0.269898,raised
img_099.jpg,raised,0.445545,raised
img_100.jpg,raised,0.404181,raised
img_101.jpg,raised,0.565218,raised
img_102.jpg,raised,0.526170,raised
img_103.jpg,raised,0.816934,raised
img_105.jpg,raised,0.241963,raised
img_106.jpg,raised,0.284073,raised
img_107.jpg,raised,0.258037,raised
img_108.jpg,raised,0.268975,raised
img_110.jpg,raised,0.438921,raised
img_111.jpg,raised,0.223761,raised
img_112.jpg,raised,0.181127,raised
img_113.jpg,raised,0.222933,raised
img_114.jpg,raised,0.290015,raised
img_115.jpg,raised,0.323693,raised
img_116.jpg,raised,0.274865,raised
img_117.jpg,raised,0.273105,raised
img_118.jpg,raised,0.274678,raised
img_119.jpg,raised,0.307869,raised
img_120.jpg,raised,0.300448,raised
img_121.jpg,raised,0.394179,raised
img_123.jpg,raised,0.327323,raised
img_124.jpg,raised,0.239422,raised
img_125.jpg,raised,0.414735,raised
img_126.jpg,raised,0.261695,raised
img_127.jpg,raised,0.463097,raised
img_128.jpg,raised,0.301970,raised
img_130.jpg,raised,0.412990,raised
img_131.jpg,raised,0.343203,raised
img_132.jpg,raised,0.626576,raised
img_133.jpg,raised,0.265193,raised
img_134.jpg,raised,0.248347,raised
img_135.jpg,raised,0.588543,raised
img_136.jpg,raised,0.263854,raised
img_137.jpg,raised,0.384496,raised
img_138.jpg,raised,0.393816,raised
img_139.jpg,raised,0.303445,raised
img_140.jpg,raised,0.295955,raised
img_142.jpg,raised,0.422397,raised
img_145.jpg,raised,0.640578,raised
img_146.jpg,raised,0.323004,raised
img_147.jpg,raised,0.192886,raised
img_148.jpg,raised,0.353027,raised
img_149.jpg,raised,0.514207,raised
img_150.jpg,raised,0.283474,raised
img_151.jpg,raised,0.647105,raised
img_152.jpg,raised,0.569481,raised
img_153.jpg,raised,0.302182,raised
img_155.jpg,raised,0.482640,raised
img_156.jpg,raised,0.290183,raised
img_157.jpg,raised,0.195064,raised
img_158.jpg,raised,0.229229,raised
img_160.jpg,raised,0.291342,raised
img_161.jpg,raised,0.321624,raised
img_162.jpg,raised,0.543718,raised
img_163.jpg,raised,0.188047,raised
img_164.jpg,raised,0.179386,raised
img_165.jpg,raised,0.398583,raised
img_167.jpg,raised,0.285223,raised
img_168.jpg,raised,0.260991,raised
img_169.jpg,raised,0.292296,raised
img_170.jpg,raised,0.277249,raised
img_171.jpg,raised,0.391397,raised
img_172.jpg,raised,0.482188,raised
img_173.jpg,raised,0.371644,raised
img_174.jpg,raised,0.254510,raised
img_175.jpg,raised,0.389948,raised
img_176.jpg,raised,0.511294,raised
img_177.jpg,raised,0.329820,raised
img_178.jpg,raised,0.305138,raised
img_179.jpg,raised,0.322830,raised
img_180.jpg,raised,0.415717,raised
img_181.jpg,raised,0.273312,raised
